CNTY_FIPS,COUNTY,PERSONS,HISPANIC,WHITE,BLACK,ASIAN,AMINDIAN,PISLAND,OTHER,OTHERMLT,PERSONS18,HISPANIC18,WHITE18,BLACK18,ASIAN18,AMINDIAN18,PISLAND18,OTHER18,OTHERMLT18
55001,Adams,"20,654",797,"18,372",693,113,387,15,231,46,"17,644",553,"15,843",589,90,342,13,181,33
55003,Ashland,"16,027",383,"12,678",165,138,"2,446",17,118,82,"12,586",219,"10,311",108,99,"1,693",11,96,49
55005,Barron,"46,711","1,277","42,210",991,477,"1,040",27,582,107,"36,847",782,"33,880",595,347,740,16,428,59
55007,Bayfield,"16,220",279,"13,445",89,81,"2,057",8,222,39,"13,450",164,"11,528",51,55,"1,447",6,184,15
55009,Brown,"268,740","26,216","208,440","10,626","9,604","10,242",184,"2,474",954,"206,130","16,007","168,143","6,428","6,184","7,102",134,"1,719",413
55011,Buffalo,"13,317",327,"12,577",85,42,128,15,105,38,"10,554",195,"10,069",47,34,104,13,72,20
55013,Burnett,"16,526",254,"14,658",108,117,"1,090",10,212,77,"13,642",154,"12,405",69,74,720,9,165,46
55015,Calumet,"52,442","2,857","46,056",666,"1,533",743,47,468,72,"39,712","1,675","35,858",332,942,528,27,304,46
55017,Chippewa,"66,297","1,257","60,391","1,341","1,228","1,108",24,826,122,"51,536",823,"47,552",993,707,800,16,586,59
55019,Clark,"34,659","2,098","31,566",207,171,312,10,263,32,"24,688","1,214","22,835",85,111,228,9,181,25
55021,Columbia,"58,490","2,139","53,037","1,211",552,825,36,617,73,"46,137","1,351","42,415",848,382,619,28,459,35
55023,Crawford,"16,113",260,"15,018",313,109,187,15,180,31,"12,817",203,"11,959",266,66,144,13,150,16
55025,Dane,"561,504","41,954","426,721","36,496","41,547","5,389",448,"6,763","2,186","448,406","27,787","354,403","23,707","31,731","4,204",323,"4,923","1,328"
55027,Dodge,"89,396","5,490","77,845","3,122",744,"1,248",14,805,128,"71,608","3,505","63,352","2,609",540,942,8,584,68
55029,Door,"30,066","1,138","27,524",285,223,492,10,343,51,"25,305",712,"23,646",154,152,350,10,248,33
55031,Douglas,"44,295",768,"39,417",894,466,"1,918",34,652,146,"35,640",467,"32,375",523,307,"1,410",17,469,72
55033,Dunn,"45,440","1,035","40,912",636,"1,601",637,33,476,110,"36,191",665,"33,115",411,"1,083",490,22,350,55
55035,Eau Claire,"105,710","3,118","92,354","2,043","5,083","1,538",124,"1,168",282,"83,793","1,951","75,086","1,156","3,411","1,125",83,841,140
55037,Florence,"4,558",66,"4,296",10,25,84,10,59,8,"3,848",36,"3,699",7,9,59,0,37,1
55039,Fond du Lac,"104,154","6,717","90,150","3,144","1,538","1,500",67,829,209,"82,059","4,230","73,084","1,793","1,037","1,160",35,591,129
55041,Forest,"9,179",155,"7,371",54,23,"1,442",32,47,55,"7,302",73,"6,214",33,17,882,16,37,30
55043,Grant,"51,938","1,236","48,325",888,534,497,27,388,43,"40,847",856,"38,321",601,393,362,6,285,23
55045,Green,"37,093","1,500","33,960",386,302,430,9,437,69,"28,864",878,"26,934",178,199,314,9,319,33
55047,Green Lake,"19,018",979,"17,255",167,135,238,0,183,61,"15,013",586,"13,907",92,86,169,0,140,33
