COUNTY,countynm,GEOID,GEOCODE,SUMLEV,POPULATION_2020,HISPANIC_O_2020,NH_WHT_2020,NH_DOJ_BLK_2020,NH_DOJ_IND_2020,NH_DOJ_ASN_2020,NH_DOJ_HWN_2020,NH_DOJ_OTH_2020,NH_DOJ_OT1_2020,F18_POP_2020,H18_POP_2020,NH18_WHT_2020,NH18_DOJ_B_2020,NH18_DOJ_I_2020,NH18_DOJ_A_2020,NH18_DOJ_H_2020,NH18_DOJ_O_2020,NH18_DOJ_M_2020
1,Aitkin,0500000US27001,27001,50,15697,220,14479,58,376,38,1,25,500,13034,119,12267,31,242,29,0,18,328
3,Anoka,0500000US27003,27003,50,363887,19506,276205,28378,1912,19158,93,1401,17234,275754,12028,220749,17600,1499,13404,79,970,9425
5,Becker,0500000US27005,27005,50,35183,575,29645,200,2417,156,9,100,2081,26736,298,23350,134,1558,120,9,72,1195
7,Beltrami,0500000US27007,27007,50,46228,1108,32445,519,9198,268,15,134,2541,34776,706,26189,414,5675,220,8,96,1468
9,Benton,0500000US27009,27009,50,41379,1216,35821,1991,184,463,8,109,1587,30955,776,27478,1249,126,364,6,80,876
11,Big Stone,0500000US27011,27011,50,5166,140,4809,19,34,12,4,34,114,4075,87,3868,14,25,12,2,12,55
13,Blue Earth,0500000US27013,27013,50,69112,3221,57222,3873,208,1834,24,247,2483,55070,2250,46771,2641,158,1601,20,177,1452
15,Brown,0500000US27015,27015,50,25912,1171,23968,118,39,126,6,20,464,20310,692,19119,73,33,113,1,17,262
17,Carlton,0500000US27017,27017,50,36207,612,30910,556,2148,153,12,85,1731,28079,362,24514,502,1489,122,12,59,1019
19,Carver,0500000US27019,27019,50,106922,5308,91443,2173,193,3617,15,284,3889,77890,3189,68572,1276,132,2663,15,180,1863
21,Cass,0500000US27021,27021,50,30066,426,24675,64,3424,111,0,96,1270,23840,238,20509,36,2099,90,0,72,796
23,Chippewa,0500000US27023,27023,50,12598,1243,10473,75,102,44,296,49,316,9593,729,8344,47,67,27,173,25,181
25,Chisago,0500000US27025,27025,50,56621,1451,50804,845,309,768,3,185,2256,43569,865,39778,725,260,514,3,116,1308
27,Clay,0500000US27027,27027,50,65318,3011,54424,3141,1032,764,16,134,2796,48834,1728,42224,1885,663,630,15,91,1598
29,Clearwater,0500000US27029,27029,50,8524,101,7151,19,752,23,2,22,454,6417,69,5573,7,475,21,2,17,253
31,Cook,0500000US27031,27031,50,5600,123,4670,25,450,48,1,25,258,4709,83,4031,23,333,41,0,23,175
33,Cottonwood,0500000US27033,27033,50,11517,1115,9418,135,25,361,80,53,330,8769,663,7465,84,20,271,54,33,179
35,Crow Wing,0500000US27035,27035,50,66123,912,61252,383,623,332,19,240,2362,52003,550,48957,252,405,263,15,163,1398
37,Dakota,0500000US27037,27037,50,439882,36305,323629,32191,1490,23932,184,2144,20007,332708,22864,258572,20230,1109,17807,140,1458,10528
39,Dodge,0500000US27039,27039,50,20867,1057,18807,126,37,104,1,65,670,15339,621,14139,78,24,81,1,41,354
41,Douglas,0500000US27041,27041,50,39006,815,36629,223,104,227,11,60,937,30580,475,29106,146,80,161,11,38,563
43,Faribault,0500000US27043,27043,50,13921,1013,12402,55,58,45,0,39,309,10870,597,9943,43,37,41,0,32,177
45,Fillmore,0500000US27045,27045,50,21228,341,20173,98,7,71,2,65,471,16111,235,15427,73,7,50,2,44,273
47,Freeborn,0500000US27047,27047,50,30895,3183,25071,460,76,1135,5,79,886,24027,1932,20472,268,57,720,5,45,528
49,Goodhue,0500000US27049,27049,50,47582,1797,42516,661,540,348,33,155,1532,36901,1120,33742,431,366,269,22,110,841
51,Grant,0500000US27051,27051,50,6074,135,5699,13,27,14,7,4,175,4655,91,4410,11,15,14,4,4,106
53,Hennepin,0500000US27053,27053,50,1281565,98250,840845,169603,8016,97348,388,6127,60988,1008791,65396,709004,114533,6043,73484,310,4386,35635
55,Houston,0500000US27055,27055,50,18843,243,17840,90,42,101,4,31,492,14636,154,14031,51,34,74,4,14,274
57,Hubbard,0500000US27057,27057,50,21344,489,19139,82,560,66,12,56,940,16554,266,15233,54,368,59,4,45,525
59,Isanti,0500000US27059,27059,50,41135,896,37559,314,201,488,13,154,1510,31218,516,29018,206,148,340,9,100,881
61,Itasca,0500000US27061,27061,50,45014,618,40166,174,1497,145,2,125,2287,35503,370,32475,121,958,124,0,85,1370
63,Jackson,0500000US27063,27063,50,9989,401,9026,120,22,122,0,23,275,7726,215,7165,73,21,98,0,19,135
65,Kanabec,0500000US27065,27065,50,16032,238,14954,65,113,80,0,15,567,12543,119,11867,37,82,57,0,13,368
67,Kandiyohi,0500000US27067,27067,50,43732,5916,33303,2618,115,586,37,98,1059,32859,3529,26753,1413,82,390,17,69,606
69,Kittson,0500000US27069,27069,50,4207,83,3974,1,15,17,6,14,97,3314,53,3156,1,15,7,6,14,62
71,Koochiching,0500000US27071,27071,50,12062,167,10920,44,278,34,12,30,577,9831,104,9050,41,201,34,6,23,372
73,Lac qui Parle,0500000US27073,27073,50,6719,202,6244,32,10,40,0,16,175,5273,121,4990,26,4,30,0,12,90
75,Lake,0500000US27075,27075,50,10905,113,10281,11,50,55,0,30,365,8844,73,8408,11,35,47,0,22,248
77,Lake of the Woods,0500000US27077,27077,50,3763,56,3497,12,19,17,0,13,149,3066,31,2901,11,17,15,0,10,81
79,Le Sueur,0500000US27079,27079,50,28674,1872,25463,262,67,134,20,58,798,21841,1095,19904,164,51,107,20,37,463
81,Lincoln,0500000US27081,27081,50,5640,107,5368,10,11,22,0,3,119,4320,58,4154,10,6,19,0,3,70
83,Lyon,0500000US27083,27083,50,25269,1744,20535,906,84,1263,3,41,693,18861,1007,16004,590,58,807,3,31,361
85,McLeod,0500000US27085,27085,50,36771,2555,32559,226,102,230,27,64,1008,28494,1488,25928,155,79,179,21,49,595
87,Mahnomen,0500000US27087,27087,50,5411,154,2278,8,2256,7,0,17,691,3857,91,1939,4,1392,7,0,15,409
89,Marshall,0500000US27089,27089,50,9040,390,8332,12,29,19,0,22,236,6903,221,6488,8,23,13,0,15,135
91,Martin,0500000US27091,27091,50,20025,1320,17947,112,32,92,6,46,470,15673,801,14372,63,27,81,5,27,297
93,Meeker,0500000US27093,27093,50,23400,950,21618,93,37,59,2,49,592,17827,534,16767,61,25,49,0,31,360
95,Mille Lacs,0500000US27095,27095,50,26459,481,23131,78,1466,124,6,98,1075,20290,257,18178,57,925,104,6,73,690
97,Morrison,0500000US27097,27097,50,34010,633,32032,179,111,102,5,57,891,25976,371,24802,91,83,78,3,53,495
99,Mower,0500000US27099,27099,50,40029,5081,29804,1613,57,2052,255,123,1044,29817,2908,23794,945,48,1314,157,78,573
101,Murray,0500000US27101,27101,50,8179,382,7483,26,9,105,3,7,164,6401,228,5955,23,5,71,3,7,109
103,Nicollet,0500000US27103,27103,50,34454,1800,29287,1672,141,558,10,71,915,26581,1128,23260,1050,114,468,9,39,513
105,Nobles,0500000US27105,27105,50,22290,7271,12147,978,66,1329,41,42,416,16056,4264,9986,597,42,919,32,33,183
107,Norman,0500000US27107,27107,50,6441,288,5702,17,115,18,0,32,269,4975,164,4527,15,77,13,0,24,155
109,Olmsted,0500000US27109,27109,50,162847,9196,124758,10959,380,10190,66,548,6750,124225,5781,99692,6835,291,7749,55,361,3461
111,Otter Tail,0500000US27111,27111,50,60081,2216,54362,843,284,334,17,149,1876,47036,1319,43578,487,201,262,17,101,1071
113,Pennington,0500000US27113,27113,50,13992,671,12241,177,166,121,6,48,562,10854,407,9741,129,108,94,2,35,338
115,Pine,0500000US27115,27115,50,28876,713,25119,470,966,264,1,98,1245,22986,479,20398,422,673,204,1,67,742
117,Pipestone,0500000US27117,27117,50,9424,804,8057,107,100,66,0,19,271,7080,453,6294,67,76,50,0,12,128
119,Polk,0500000US27119,27119,50,31192,1999,26538,958,376,156,4,71,1090,23515,1166,20699,604,272,127,0,43,604
121,Pope,0500000US27121,27121,50,11308,191,10751,34,27,50,0,20,235,8808,95,8502,25,23,35,0,17,111
123,Ramsey,0500000US27123,27123,50,552352,45034,320477,70101,2914,85775,214,2339,25498,427139,29602,274627,46616,2283,57398,157,1703,14753
125,Red Lake,0500000US27125,27125,50,3935,103,3625,15,57,5,3,14,113,2987,58,2786,15,37,3,0,9,79
127,Redwood,0500000US27127,27127,50,15425,496,13123,76,774,414,1,16,525,11521,234,10243,49,494,224,1,16,260
129,Renville,0500000US27129,27129,50,14723,1319,12766,60,103,61,5,27,382,11348,769,10144,48,76,49,5,24,233
131,Rice,0500000US27131,27131,50,67097,6783,51523,4353,297,1554,10,425,2152,52206,4469,41623,2843,262,1376,7,377,1249
133,Rock,0500000US27133,27133,50,9704,364,8886,50,48,62,10,0,284,7257,208,6792,26,31,45,1,0,154
135,Roseau,0500000US27135,27135,50,15331,238,13700,85,229,398,10,56,615,11662,141,10665,50,145,285,10,32,334
137,Saint Louis,0500000US27137,27137,50,200231,3603,176112,4075,4305,1901,58,579,9598,162074,2343,145497,3108,3174,1605,44,423,5880
139,Scott,0500000US27139,27139,50,150928,9008,115630,8137,1406,9939,64,607,6137,110072,5529,87940,4729,965,7441,50,403,3015
